XML, Chado Base Table, Chado Column
BioSample->accession, biomaterial, name
Owner->Name, contact, biomaterial.biosourceprovider_id
Comment->Paragraph,  biomaterial, description
Attribute, biomaterialprop, "type_id, value"
Organism->taxonomy_id, organism_dbxref, dbxref.accession
